child,comp[T.WH],embpred[T.True],embsubj[T.True],embtense[T.TENSED],embtense[T.TO],itr,obj[T.True],prep1[T.True],sentence
andy,4.52441251338278e-05,0.9999546782603389,4.5390636508928956e-05,4.5351029681495055e-05,4.5380773417890044e-05,0,4.524198159726328e-05,4.529437338538348e-05,5
andy,0.0020628523605884038,0.001816218027123021,0.0006271988369044078,0.0007115003927865537,0.002155670278698737,0,0.9999506316307113,0.983823110915777,5
andy,0.0016664671837285407,0.00183375670979194,0.0005959714204875077,0.0007019529809755583,0.003338268717419519,0,0.9999509282221436,0.9679011523075055,5
andy,0.0008125080867988165,0.0021864574876986416,0.0005933384137945902,0.0007042633426654136,0.7168735808340656,0,0.9999513123587379,0.8045547573675429,5
andy,0.001578559995493885,0.001735580775553465,0.0006282674312146821,0.0007555345773078724,0.0023111702309953326,0,0.999950314387277,0.9922022027816723,5
andy,0.0012209811723460997,0.0018549748498719,0.0005721926558861662,0.000732128371418233,0.011663369410070094,0,0.9999515728811587,0.9775647992560439,5
andy,0.0011956667687076697,0.0020675802977306195,0.0005932869228507699,0.0007057617366372677,0.0053063107572705005,0,0.9999504936176383,0.985531121328763,5
andy,4.532534205073717e-05,0.9999546822231371,0.9999546733489039,0.9999546406860026,4.525124309792696e-05,0,4.525359551499744e-05,4.532052183554487e-05,6
andy,4.53124414978332e-05,0.9999546782603389,4.5390636508928956e-05,4.5351029681495055e-05,4.5380773417890044e-05,0,4.524198159726328e-05,4.529437338538348e-05,6
andy,0.0006368698955527007,0.00030760492372613807,0.00010678382585169356,0.00012113277638330916,0.00036827088158326523,0,0.9999546578704029,0.996775737421269,6
andy,0.0004433202712680911,0.0003106002372867125,0.00010145211854979675,0.00011951620505947442,0.0005726218379264932,0,0.9999546095953711,0.9923167381739776,6
andy,0.00016482413863792885,0.0003708276921021222,0.00010084495272306264,0.00012035968627897568,0.8457096141269089,0,0.9999546449569049,0.064941451186844,6
andy,0.0004019329595478476,0.0002939895437901038,0.00010696095949363188,0.00012865220948499824,0.00039505757033972584,0,0.9999546886940173,0.998574853631519,6
