child,comp[T.WH],embpred[T.True],embsubj[T.True],embtense[T.TENSED],embtense[T.TO],itr,obj[T.True],prep1[T.True],verb
andy,0.0006628366248974116,0.31020677208836733,0.03505956850937786,0.03505955780720238,0.028103807352104382,0,0.16964521691620726,0.1456241543579676,fit
andy,0.004921964377069155,0.3185109982499993,0.04642566806277593,0.0464256646884188,0.21395856823373238,0,0.7879250867512004,0.7301313770246203,fix
andy,0.002629823434213807,0.36592437642453646,0.10579266540964882,0.10579263525149096,0.388922804327529,0,0.6567051536351771,0.4378178694390126,forget
andy,0.0011590809898099907,0.25053335665810617,0.061560182304852606,0.0615601747430482,0.04283025151815567,0,0.25924184509945447,0.22607325163164882,fork
andy,0.0005171257371284765,0.24013156679212855,0.12675279510107185,0.12675278792036504,0.006522813323185717,0,0.1080854931402605,0.1022375010012081,get
andy,0.001564356923147936,0.2288465814650048,0.015444151448371968,0.015444146044945706,0.054717246686402765,0,0.33862394320481937,0.30031192989280564,give
andy,0.0007678600023403037,0.1369841191416139,0.041359265379217636,0.04135926245249,0.0019347716570645712,0,0.12973500714218322,0.1280569611794412,go
andy,0.0012887290894385561,0.5082673457404461,0.48647837858493626,0.4864783629217524,0.04731952556986041,0,0.27793875718650274,0.24205794262956193,guess
andy,0.003772715844781338,0.2966235982380734,0.0658197843051116,0.06581978241647901,0.16046462953802088,0,0.7034178395299836,0.6466721365790858,hang
andy,0.0006860380310594882,0.3788994188004027,0.25986782987153056,0.25986781580346796,0.003727246188329425,0,0.051325704920216375,0.04779270500000021,happen
andy,0.0006656211206761409,0.16985405579622515,0.06293005889607062,0.06293005032511123,0.07217452081827103,0,0.19587758061602156,0.1332601741235495,have
andy,0.001217840955962779,0.2782978404311799,0.022975955376599022,0.022975947689738874,0.049415049738435135,0,0.3019647074835696,0.26565343055007473,help
andy,0.0009056731571440713,0.3137446516037947,0.0680280602815595,0.06802804952106478,0.03776429268992754,0,0.21158720798461694,0.1806272420389161,hide
andy,0.0018275478745086726,0.300113999438522,0.03577407900921448,0.03577407322269732,0.05547703805458637,0,0.39508289289569853,0.35953061375038975,hold
andy,0.0007884187612884341,0.8360485176507768,0.8203339558192931,0.8203339285622223,0.03383980877497761,0,0.1811360921155013,0.15246217155787756,hope
andy,0.004686930632086361,0.23639623956593359,0.050039442754030605,0.05003944073161126,0.10276282632230394,0,0.6561799426756892,0.6167698812049216,jump
andy,0.0001885337756115657,0.32620202857503144,0.028335562840909545,0.028335550404734122,0.007549532871436115,0,0.04651826595117692,0.03927309018420544,keep
andy,0.0009184784889786357,0.18234492953099612,0.0878093008779196,0.08780929291057293,0.0032740406586363457,0,0.06642739048728175,0.06336813085390836,know
andy,0.003073150403906433,0.30314767066520343,0.07560925369776339,0.07560925696671195,0.08143192789896458,0,0.6370579888931349,0.6048631738129286,land
andy,0.006304959169508795,0.6447737484434661,0.03006389678707222,0.030063883266340907,0.27754707728269845,0,0.8756022305308341,0.8277514247368569,let
andy,0.000990440025234296,0.39983254734300844,0.014017117839219995,0.014017079419245126,0.3676127777740701,0,0.49007234293901036,0.1931192489261404,like
andy,0.0011332503730530075,0.3957696520938305,0.3716119302600147,0.3716119190739682,0.007363183723444355,0,0.1989115924171373,0.1929850572770162,look
andy,0.0014960408334850905,0.4118414653329566,0.1497373882462819,0.1497373743390198,0.052855611999283125,0,0.3011899879593094,0.2621702881614485,make
andy,0.008451317923106272,0.692207663973737,0.5366406188285253,0.5366405998078339,0.35302397394719987,0,0.9298328646665283,0.891489762079238,matter
andy,0.0009139996853859689,0.3067398047952401,0.07724493436652657,0.07724492387877702,0.0431825580484726,0,0.222561952322193,0.18745213545553552,miss
andy,0.0055323102256730206,0.29698242438509703,0.08562652109780555,0.08562651830463808,0.21274433889617228,0,0.7998621223190605,0.7457151963129023,move
andy,0.0002958154585518402,0.20326952818679545,0.006745220536952257,0.006745193569752006,0.278377473309377,0,0.32723529045428923,0.06729681802525211,need
andy,0.004491039966362131,0.24436565662815868,0.08772057975370717,0.08772058052466791,0.13668582543194252,0,0.7160778222731872,0.6710835676404701,open
andy,0.001952306276453375,0.2432950429184363,0.029752652401678792,0.02975264789368215,0.07528233965550413,0,0.42440507283179807,0.377506326225462,owe
andy,0.001185883050085046,0.3154255037810686,0.060497405720849384,0.0604973958939381,0.04898263834315575,0,0.2847544341877162,0.24789129048187986,pay
andy,0.002757003360954413,0.3854632515644333,0.24967580844162973,0.24967580133089917,0.042774944846939666,0,0.4837424958600115,0.4606696690859594,pick
andy,0.00091708945976543,0.3291138525732543,0.054228184227967824,0.054228172849673406,0.049690810486871184,0,0.24020935227147966,0.2004526545680767,picture
andy,0.001417689813557943,0.3455525291605931,0.059469011289303264,0.059469000218609236,0.056922283944827234,0,0.3195504466121304,0.2784517072426762,plant
